filename trial 2ag_15c0 2ag_15c1 2ag_70c0 2ag_70c1 2ag_130c0 2ag_130c1 2ag_190c0 2ag_190c1 AphosNoPP_15c0 AphosNoPP_15c1 AphosNoPP_70c0 AphosNoPP_70c1 AphosNoPP_130c0 AphosNoPP_130c1 AphosNoPP_190c0 AphosNoPP_190c1 CKpCam_15c0 CKpCam_15c1 CKpCam_70c0 CKpCam_70c1 CKpCam_130c0 CKpCam_130c1 CKpCam_190c0 CKpCam_190c1 Epac1_15c0 Epac1_15c1 Epac1_70c0 Epac1_70c1 Epac1_130c0 Epac1_130c1 Epac1_190c0 Epac1_190c1 Pkc_15c0 Pkc_15c1 Pkc_70c0 Pkc_70c1 Pkc_130c0 Pkc_130c1 Pkc_190c0 Pkc_190c1 
slowCKp-stimtheta-noReb_DaDec1 0 41.09 39.64 147.56 144.48 115.67 114.82 41.62 42.19 678.94 662.06 2011.42 1874.82 2646.29 2450.7 3068.9 3049.69 0.0 0.0 75.23 101.05 157.51 169.97 201.51 225.67 21.91 21.48 121.67 117.67 150.3 149.9 140.21 140.39 12.18 0.0 70.47 248.86 127.85 380.47 68.87 214.34
slowCKp-stimtheta-noReb_DaDec1 1 57.63 58.82 142.16 140.39 80.13 82.09 24.13 24.63 715.07 717.55 2028.85 1860.5 2702.0 2697.69 3125.29 3266.63 0.32 0.0 106.98 118.36 215.34 207.69 265.24 281.34 20.25 19.18 95.8 95.9 146.74 147.89 123.46 117.38 10.3 0.0 67.74 233.22 131.9 457.14 74.75 236.58
slowCKp-stimtheta-noReb_DaDec1 2 61.48 61.63 147.16 145.85 82.57 81.62 27.97 29.79 772.9 847.97 1862.3 1801.0 2747.77 2718.91 3039.53 3143.11 0.0 0.0 102.16 87.07 190.85 188.59 249.96 242.04 22.66 21.22 99.39 97.9 140.26 140.31 106.29 110.81 9.22 0.0 77.0 199.76 140.84 359.29 73.59 209.18
AChigh-stim20hz-noReb_lowDaDec3 0 35.17 31.71 145.2 150.66 136.24 136.81 112.5 116.14 417.14 509.91 1368.17 1360.86 1740.74 1558.19 2071.07 1924.13 0.0 0.0 16.54 18.71 40.45 40.32 64.61 79.7 26.41 23.53 57.66 59.37 67.53 68.36 88.99 85.75 3.26 5.63 44.94 106.12 46.7 123.47 65.53 125.64
AChigh-stim20hz-noReb_lowDaDec3 1 57.28 67.51 135.28 134.89 121.05 122.45 115.18 115.37 476.88 537.53 1464.75 1606.95 1808.4 1829.86 1723.86 1826.45 0.0 0.0 19.08 21.95 42.89 37.21 63.23 62.44 25.37 23.53 66.02 66.49 79.98 77.57 66.33 66.53 7.41 0.0 43.31 127.73 49.58 116.1 55.11 185.91
AChigh-stim20hz-noReb_lowDaDec3 2 49.69 50.12 139.08 137.24 147.01 147.17 114.32 112.65 405.67 433.7 1516.44 1478.24 1837.52 1820.31 1915.72 1893.32 0.0 0.0 19.09 21.35 40.46 38.61 57.9 52.64 13.04 15.85 75.5 75.1 75.5 80.17 84.06 82.04 8.98 0.0 43.14 109.07 61.71 121.51 63.95 137.28
AChigh-stimtheta-noReb_DaDec1 0 50.49 49.1 144.59 150.79 89.8 88.1 39.12 39.34 605.27 539.57 1387.41 1204.66 2150.16 1898.73 2556.76 2670.58 0.0 0.0 72.12 79.66 142.78 152.2 173.33 174.1 24.9 30.18 80.3 79.02 115.48 116.74 79.64 83.07 13.37 0.0 76.42 160.76 117.9 320.21 57.91 126.24
AChigh-stimtheta-noReb_DaDec1 1 40.65 39.89 153.07 150.53 91.58 92.36 29.83 29.62 459.75 390.23 1386.6 1381.36 2267.57 2227.08 2497.77 2612.53 0.0 0.0 82.05 93.08 170.36 167.97 204.82 205.0 18.42 11.25 65.95 63.63 111.07 113.58 75.15 72.41 4.09 0.0 75.85 119.51 129.01 355.5 58.42 112.65
AChigh-stimtheta-noReb_DaDec1 2 40.34 43.47 143.42 141.84 93.07 96.07 37.59 36.91 441.98 444.95 1558.51 1515.28 2318.72 2153.77 2614.4 2665.43 0.0 0.0 67.39 64.23 153.28 187.49 196.74 185.74 18.2 22.5 73.67 69.6 116.08 116.65 89.8 90.06 7.87 0.0 57.66 171.03 118.98 224.22 54.4 38.23
AClow-stim20hz-noReb_lowDaDec3 0 41.66 40.92 130.02 133.4 125.67 124.28 110.56 111.84 401.36 366.19 2394.24 2302.22 2772.72 2638.11 2761.11 2575.33 0.0 0.0 26.21 31.07 62.97 69.56 89.5 87.84 13.47 12.79 127.94 126.2 143.02 139.37 133.85 135.15 4.3 0.0 46.12 125.01 55.17 213.31 81.05 169.12
AClow-stim20hz-noReb_lowDaDec3 1 60.6 59.33 129.38 127.01 149.86 152.58 124.42 120.74 428.6 332.44 2595.92 2541.19 2543.81 2694.49 2583.69 2598.13 0.0 0.0 20.2 16.62 40.93 41.43 63.16 56.22 23.89 20.97 154.85 161.06 118.73 120.06 117.14 112.26 13.25 0.0 39.34 103.78 47.97 122.32 66.77 158.21
AClow-stim20hz-noReb_lowDaDec3 2 43.23 41.43 131.76 130.93 133.15 132.38 100.06 99.86 590.91 524.74 2554.8 2481.14 2898.85 2808.37 3014.92 2979.66 0.0 0.0 31.46 31.71 53.89 52.89 82.29 91.55 19.65 22.5 149.67 145.63 155.84 152.03 155.22 153.52 12.51 0.0 46.73 82.21 44.23 103.1 81.27 228.74
AClow-stimtheta-noReb_DaDec1 0 53.07 45.52 126.19 121.51 70.22 70.45 22.57 21.48 394.38 588.67 2483.8 2457.18 3075.38 3038.01 3473.03 3665.93 0.0 0.0 109.35 125.64 233.03 242.17 294.27 285.9 24.66 23.01 174.08 166.26 234.67 229.64 165.81 168.22 8.12 25.57 85.71 239.06 154.68 276.09 75.83 122.53
AClow-stimtheta-noReb_DaDec1 1 43.41 44.5 113.88 115.46 59.88 59.92 17.35 18.88 444.44 462.34 2586.27 2605.88 3143.35 3279.88 3381.26 3553.67 0.0 0.0 152.34 158.16 278.06 292.72 325.95 334.48 30.84 32.73 180.65 182.63 253.17 254.53 162.3 164.68 13.68 0.0 87.72 199.63 175.31 252.14 77.94 141.33
